Perfil;Ancho;Alto;ColorVidrio;Acabado;Tarifa
7991;500;500;MATE;LACADO;144,62
7991;500;1000;MATE;LACADO;188,53
7991;500;2000;MATE;LACADO;225,52
7991;500;2500;MATE;LACADO;259,29
7991;600;500;MATE;LACADO;152,87
7991;600;1000;MATE;LACADO;202,78
7991;600;2000;MATE;LACADO;244,17
7991;600;2500;MATE;LACADO;282,08
7991;400;500;MATE;ANODIZADO;139,00
7991;400;1000;MATE;ANODIZADO;178,35
7991;400;2000;MATE;ANODIZADO;213,86
7991;400;2500;MATE;ANODIZADO;244,95
7991;500;500;MATE;ANODIZADO;147,53
7991;500;1000;MATE;ANODIZADO;192,90
7991;500;2000;MATE;ANODIZADO;232,80
7991;500;2500;MATE;ANODIZADO;268,03
7991;600;500;MATE;ANODIZADO;156,07
7991;600;1000;MATE;ANODIZADO;207,44
7991;600;2000;MATE;ANODIZADO;251,74
7991;600;2500;MATE;ANODIZADO;291,11
7991;400;500;MATE;RECHAPADO;143,48
7991;400;1000;MATE;RECHAPADO;185,33
7991;400;2000;MATE;RECHAPADO;225,81
7991;400;2500;MATE;RECHAPADO;259,39
7991;500;500;MATE;RECHAPADO;152,52
7991;500;1000;MATE;RECHAPADO;200,37
7991;500;2000;MATE;RECHAPADO;245,25
7991;500;2500;MATE;RECHAPADO;282,97
7991;600;500;MATE;RECHAPADO;161,55
7991;600;1000;MATE;RECHAPADO;215,41
7991;600;2000;MATE;RECHAPADO;264,69
7991;600;2500;MATE;RECHAPADO;306,55
7993;400;500;SINVIDRIO;LACADO;46,96
7993;400;1000;SINVIDRIO;LACADO;46,66
7993;400;2000;SINVIDRIO;LACADO;67,40
7993;400;2500;SINVIDRIO;LACADO;77,77
7993;500;500;SINVIDRIO;LACADO;47,96
7993;500;1000;SINVIDRIO;LACADO;47,67
7993;500;2000;SINVIDRIO;LACADO;68,41
7993;500;2500;SINVIDRIO;LACADO;78,77
7993;600;500;SINVIDRIO;LACADO;48,97
7993;600;1000;SINVIDRIO;LACADO;48,67
7993;600;2000;SINVIDRIO;LACADO;69,41
7993;600;2500;SINVIDRIO;LACADO;79,78
7993;400;500;SINVIDRIO;ANODIZADO;52,48
7993;400;1000;SINVIDRIO;ANODIZADO;53,60
7993;400;2000;SINVIDRIO;ANODIZADO;78,51
7993;400;2500;SINVIDRIO;ANODIZADO;90,97
7993;500;500;SINVIDRIO;ANODIZADO;53,84
7993;500;1000;SINVIDRIO;ANODIZADO;54,96
7993;500;2000;SINVIDRIO;ANODIZADO;79,87
7993;500;2500;SINVIDRIO;ANODIZADO;92,33
7993;600;500;SINVIDRIO;ANODIZADO;55,20
7993;600;1000;SINVIDRIO;ANODIZADO;56,32
7993;600;2000;SINVIDRIO;ANODIZADO;81,23
7993;600;2500;SINVIDRIO;ANODIZADO;93,68
7993;400;500;SINVIDRIO;RECHAPADO;88,80
7993;400;1000;SINVIDRIO;RECHAPADO;93,45
7993;400;2000;SINVIDRIO;RECHAPADO;126,75
7993;400;2500;SINVIDRIO;RECHAPADO;143,40
7993;500;500;SINVIDRIO;RECHAPADO;90,93
7993;500;1000;SINVIDRIO;RECHAPADO;95,58
7993;500;2000;SINVIDRIO;RECHAPADO;128,88
7993;500;2500;SINVIDRIO;RECHAPADO;145,53
7993;600;500;SINVIDRIO;RECHAPADO;93,06
